problem,difficulty,impl,completion_tokens,prompt_tokens,total_tokens,cost,runtime,llm_time,non_llm_time
translation,EASY,jac,7,171,178,0.00555,2.0614261080000023,1.4231456690000002,0.6382804390000021
translation,EASY,dspy,18,302,320,0.01014,6.945738939999991,5.714759664000001,1.2309792759999905
essay_reviewer,EASY,jac,284,1634,1918,0.06606000000000001,21.920279649999983,21.843491947,0.07678770299998305
essay_reviewer,EASY,dspy,464,1255,1719,0.06549,23.760961254999994,23.737894368000003,0.02306688699999171
joke_gen,EASY,jac,21,161,182,0.00609,1.716884154,1.671837586,0.04504656799999984
joke_gen,EASY,dspy,52,200,252,0.00912,6.287762824999998,6.272498539000001,0.015264285999997185
expert_answer,EASY,jac,125,275,400,0.01575,8.006948634999999,7.9537007950000005,0.05324783999999827
expert_answer,EASY,dspy,91,100,191,0.00846,4.950093256999998,4.940554754,0.009538502999998144
odd_word_out,EASY,jac,47,411,458,0.01515,4.6597704449999995,4.604648536,0.05512190899999947
odd_word_out,EASY,dspy,234,552,786,0.030600000000000002,12.793981523999994,12.778934514000001,0.015047009999992866
mcq_reason,MEDIUM,jac,46,246,292,0.01014,2.694972662000002,2.65314913,0.04182353200000177
mcq_reason,MEDIUM,dspy,97,164,261,0.01074,5.915503056000002,5.907801470000001,0.00770158600000137
personality_finder,MEDIUM,jac,27,200,227,0.00762,2.8892321510000043,2.845082774,0.0441493770000041
personality_finder,MEDIUM,dspy,32,197,229,0.00783,1.8716405050000007,1.8579141460000002,0.013726359000000521
template,MEDIUM,jac,32,200,232,0.00792,2.48673682,2.447722038,0.03901478199999975
template,MEDIUM,dspy,36,173,209,0.007350000000000001,2.4849237779999993,2.4731234960000004,0.01180028199999894
text_to_type,MEDIUM,jac,37,249,286,0.00969,2.3198614479999984,2.278234106,0.04162734199999818
text_to_type,MEDIUM,dspy,52,266,318,0.0111,3.054671406999997,3.040720506,0.013950900999997184
taskman,MEDIUM,jac,485,1049,1534,0.06057,22.711225792000022,22.664844595,0.04638119700002008
taskman,MEDIUM,dspy,122,808,930,0.03156,9.342463469000009,9.30414101,0.038322459000008635
rpg_level_gen,HARD,jac,107,670,777,0.026520000000000002,6.5656369489999875,6.273671795,0.29196515399998724
rpg_level_gen,HARD,dspy,826,2213,3039,0.11595,38.24311146699999,38.163846106,0.07926536099999026
wikipedia,HARD,jac,666,8390,9056,0.29166,55.30808402699989,50.028234587,5.279849439999893
wikipedia,HARD,dspy,105,574,679,0.02352,9.133088058999999,7.141890064,1.9911979949999985
