directory,type,completion_tokens,prompt_tokens,total_tokens
joke_gen/jac,MTLLM,19,176,195
joke_gen/dspy,dspy,18,56,74
joke_gen/dspy,dspy,18,57,75
joke_gen/dspy,dspy,23,78,101
text_to_type/jac,MTLLM,35,265,300
text_to_type/dspy,dspy,56,264,320
rpg_level_gen/jac,MTLLM,46,313,359
rpg_level_gen/jac,MTLLM,240,525,765
rpg_level_gen/jac,MTLLM,46,356,402
rpg_level_gen/jac,MTLLM,249,525,774
rpg_level_gen/dspy,dspy,73,354,427
rpg_level_gen/dspy,dspy,474,734,1208
rpg_level_gen/dspy,dspy,73,398,471
rpg_level_gen/dspy,dspy,581,734,1315
wikipedia/jac,MTLLM,27,394,421
wikipedia/jac,MTLLM,29,615,644
wikipedia/jac,MTLLM,26,391,417
wikipedia/jac,MTLLM,78,809,887
template/jac,MTLLM,30,217,247
template/dspy,dspy,41,169,210
odd_word_out/jac,MTLLM,27,257,284
odd_word_out/dspy,dspy,83,109,192
odd_word_out/dspy,dspy,104,109,213
odd_word_out/dspy,dspy,86,331,417
translation/jac,MTLLM,4,178,182
translation/dspy,dspy,14,71,85
translation/dspy,dspy,12,71,83
translation/dspy,dspy,14,71,85
translation/dspy,dspy,8,107,115
expert_answer/jac,MTLLM,6,137,143
expert_answer/jac,MTLLM,90,153,243
expert_answer/dspy,dspy,14,44,58
expert_answer/dspy,dspy,150,67,217
mcq_reason/jac,MTLLM,4,241,245
mcq_reason/dspy,dspy,150,162,312
mcq_reason/dspy,dspy,75,312,387
personality_finder/jac,MTLLM,27,241,268
personality_finder/dspy,dspy,36,197,233
essay_reviewer/jac,MTLLM,39,281,320
essay_reviewer/jac,MTLLM,84,281,365
essay_reviewer/jac,MTLLM,97,280,377
essay_reviewer/jac,MTLLM,67,501,568
essay_reviewer/jac,MTLLM,4,193,197
essay_reviewer/dspy,dspy,150,189,339
essay_reviewer/dspy,dspy,150,189,339
essay_reviewer/dspy,dspy,150,188,338
essay_reviewer/dspy,dspy,150,654,804
essay_reviewer/dspy,dspy,137,186,323
