problem,difficulty,impl,completion_tokens,prompt_tokens,total_tokens,cost,runtime,llm_time,non_llm_time
translation,EASY,jac,4,177,181,0.0009450000000000001,1.6837982979999937,0.9748184710000001,0.7089798269999936
translation,EASY,dspy,54,320,374,0.00241,6.458436220999997,5.124310433000001,1.3341257879999961
essay_reviewer,EASY,jac,345,1581,1926,0.013080000000000001,10.839655098999993,10.742304774,0.09735032499999186
essay_reviewer,EASY,dspy,732,1408,2140,0.01802,16.006231815000017,14.883143935000001,1.123087880000016
joke_gen,EASY,jac,19,175,194,0.00116,1.2297007049999993,1.18484502,0.04485568499999926
joke_gen,EASY,dspy,61,193,254,0.0018800000000000002,4.707879418000006,4.692913202000001,0.014966216000005694
expert_answer,EASY,jac,112,294,406,0.00315,4.971432926999999,4.930005252,0.041427674999998665
expert_answer,EASY,dspy,153,111,264,0.00285,7.111419533000003,7.101864456,0.009555077000002576
odd_word_out,EASY,jac,27,256,283,0.001685,1.336259648000001,1.280196895,0.056062753000001075
odd_word_out,EASY,dspy,287,542,829,0.007015,8.989906730000007,8.975601028,0.014305702000006804
mcq_reason,MEDIUM,jac,111,264,375,0.0029850000000000002,2.6655590790000008,2.621831571,0.0437275080000008
mcq_reason,MEDIUM,dspy,225,472,697,0.0057350000000000005,4.060737574999996,4.050853683000001,0.009883891999995065
personality_finder,MEDIUM,jac,27,243,270,0.0016200000000000001,1.1224904800000008,1.051469129,0.07102135100000084
personality_finder,MEDIUM,dspy,36,197,233,0.0015249999999999999,1.2218931689999988,1.207286829,0.014606339999998719
template,MEDIUM,jac,30,216,246,0.0015300000000000001,0.8908370910000001,0.8522528490000001,0.03858424199999999
template,MEDIUM,dspy,41,169,210,0.00146,1.3158606199999996,1.303016811,0.012843808999999595
text_to_type,MEDIUM,jac,35,264,299,0.0018450000000000003,1.3268862359999996,1.234249839,0.09263639699999948
text_to_type,MEDIUM,dspy,56,264,320,0.0021600000000000005,1.1503446729999998,1.1366188480000001,0.013725824999999636
taskman,MEDIUM,jac,254,1254,1508,0.01008,8.651121008999992,8.603688637000001,0.04743237199999051
taskman,MEDIUM,dspy,235,808,1043,0.0075650000000000005,6.4955774430000055,6.457213822000001,0.03836362100000468
rpg_level_gen,HARD,jac,590,1715,2305,0.017425000000000003,13.398203322000017,13.136899470000001,0.26130385200001527
rpg_level_gen,HARD,dspy,1178,2220,3398,0.02877,19.962690202000015,19.886529478,0.07616072400001528
wikipedia,HARD,jac,185,2572,2757,0.015635,8.976608837000011,5.439182795000001,3.5374260420000105
wikipedia,HARD,dspy,30,149,179,0.001195,0.0,0.0,0.0
