problem,difficulty,impl,completion_tokens,prompt_tokens,total_tokens,cost,runtime,llm_time,non_llm_time
translation,EASY,dspy,17,274,291,0.0001625,2.875234343999997,1.569500147,1.3057341969999972
translation,EASY,jac,2,176,178,9.1e-05,1.0988826859999972,0.560899672,0.5379830139999972
essay_reviewer,EASY,dspy,381,1136,1517,0.0011394999999999999,8.622105636000002,8.597556499000001,0.024549137000001053
essay_reviewer,EASY,jac,303,1540,1843,0.0012245,6.537805777999999,6.526863755000001,0.010942022999998358
joke_gen,EASY,dspy,56,184,240,0.000176,2.273164575999997,2.2595382660000003,0.0136263099999967
joke_gen,EASY,jac,13,174,187,0.0001065,0.629743405,0.621023447,0.008719958000000028
expert_answer,EASY,dspy,126,87,213,0.0002325,2.853094345000001,2.842897271,0.010197074000001027
expert_answer,EASY,jac,116,290,406,0.00031899999999999995,2.8220115679999993,2.812217459,0.009794108999999107
odd_word_out,EASY,dspy,211,509,720,0.000571,4.767584372000002,4.752043206000001,0.015541166000001105
odd_word_out,EASY,jac,2,256,258,0.00013099999999999999,0.4825339030000003,0.47286756100000005,0.009666342000000272
mcq_reason,MEDIUM,dspy,93,157,250,0.00021799999999999999,2.206831874000003,2.19828655,0.00854532400000263
mcq_reason,MEDIUM,jac,58,272,330,0.000223,1.5076216470000001,1.498380548,0.00924109900000003
personality_finder,MEDIUM,dspy,27,190,217,0.0001355,0.8287352599999988,0.811561105,0.017174154999998748
personality_finder,MEDIUM,jac,23,243,266,0.000156,0.852324017,0.839550212,0.012773805000000027
template,MEDIUM,dspy,210,562,772,0.000596,4.641665859999998,4.618024516,0.023641343999997844
template,MEDIUM,jac,27,218,245,0.0001495,0.8133181899999999,0.8026988860000001,0.010619303999999885
text_to_type,MEDIUM,dspy,41,259,300,0.000191,1.197302655,1.182895653,0.014407002000000002
text_to_type,MEDIUM,jac,32,264,296,0.00017999999999999998,1.0251059959999995,1.014091059,0.011014936999999447
taskman,MEDIUM,dspy,635,2307,2942,0.002106,12.984146156999998,12.90848991,0.07565624699999773
taskman,MEDIUM,jac,206,1003,1209,0.0008105,5.434503765999996,5.421433196000001,0.013070569999995563
rpg_level_gen,HARD,dspy,1443,3006,4449,0.0036675,27.221020554000027,27.129605616000003,0.09141493800002465
rpg_level_gen,HARD,jac,110,828,938,0.000579,2.343342964000001,2.325247071,0.018095893000000807
wikipedia,HARD,dspy,178,1367,1545,0.0009505,5.574590861000003,3.9345392240000003,1.6400516370000022
wikipedia,HARD,jac,164,3519,3683,0.0020055,8.450138553999999,4.556170213000001,3.893968340999998
