problem,difficulty,impl,completion_tokens,prompt_tokens,total_tokens,cost,runtime,llm_time,non_llm_time
translation,EASY,dspy,17,274,291,0.0001625,2.875234343999997,1.569500147,1.3057341969999972
translation,EASY,jac,2,169,171,8.75e-05,1.2521460009999963,0.44264610400000004,0.8094998969999962
essay_reviewer,EASY,dspy,381,1136,1517,0.0011394999999999999,8.622105636000002,8.597556499000001,0.024549137000001053
essay_reviewer,EASY,jac,36,1208,1244,0.000658,2.915665998999999,2.8384824220000002,0.07718357699999867
joke_gen,EASY,dspy,56,184,240,0.000176,2.273164575999997,2.2595382660000003,0.0136263099999967
joke_gen,EASY,jac,19,159,178,0.000108,0.7881334889999998,0.743125193,0.04500829599999978
expert_answer,EASY,dspy,126,87,213,0.0002325,2.853094345000001,2.842897271,0.010197074000001027
expert_answer,EASY,jac,63,288,351,0.00023850000000000002,1.8169410670000004,1.7758058300000001,0.04113523700000021
odd_word_out,EASY,dspy,211,509,720,0.000571,4.767584372000002,4.752043206000001,0.015541166000001105
odd_word_out,EASY,jac,10,227,237,0.0001285,0.6401174760000001,0.5831939700000001,0.05692350600000007
mcq_reason,MEDIUM,dspy,93,157,250,0.00021799999999999999,2.206831874000003,2.19828655,0.00854532400000263
mcq_reason,MEDIUM,jac,103,254,357,0.0002815,2.2777602869999987,2.235238023,0.0425222639999987
personality_finder,MEDIUM,dspy,27,190,217,0.0001355,0.8287352599999988,0.811561105,0.017174154999998748
personality_finder,MEDIUM,jac,12,198,210,0.000117,0.6978593929999994,0.59386835,0.1039910429999994
template,MEDIUM,dspy,210,562,772,0.000596,4.641665859999998,4.618024516,0.023641343999997844
template,MEDIUM,jac,29,198,227,0.0001425,0.8995735679999997,0.861888638,0.03768492999999962
text_to_type,MEDIUM,dspy,41,259,300,0.000191,1.197302655,1.182895653,0.014407002000000002
text_to_type,MEDIUM,jac,32,247,279,0.0001715,1.0622890339999973,1.019974677,0.042314356999997305
taskman,MEDIUM,dspy,635,2307,2942,0.002106,12.984146156999998,12.90848991,0.07565624699999773
taskman,MEDIUM,jac,0,0,0,0.0,0.0,0.0,0.0
rpg_level_gen,HARD,dspy,1443,3006,4449,0.0036675,27.221020554000027,27.129605616000003,0.09141493800002465
rpg_level_gen,HARD,jac,104,666,770,0.000489,2.552915899,2.5385894760000003,0.014326422999999533
wikipedia,HARD,dspy,178,1367,1545,0.0009505,5.574590861000003,3.9345392240000003,1.6400516370000022
wikipedia,HARD,jac,103,1599,1702,0.000954,5.246507555999999,3.078421672,2.168085883999999
