problem,difficulty,impl,completion_tokens,prompt_tokens,total_tokens,cost,runtime,llm_time,non_llm_time
translation,EASY,jac,4,170,174,0.0009100000000000001,1.5407777779999983,0.904845907,0.6359318709999983
translation,EASY,dspy,54,320,374,0.00241,6.458436220999997,5.124310433000001,1.3341257879999961
essay_reviewer,EASY,jac,216,1387,1603,0.010175,9.717226862000006,9.068518086000001,0.6487087760000048
essay_reviewer,EASY,dspy,732,1408,2140,0.01802,16.006231815000017,14.883143935000001,1.123087880000016
joke_gen,EASY,jac,19,161,180,0.00109,0.8518665380000002,0.801473525,0.05039301300000021
joke_gen,EASY,dspy,61,193,254,0.0018800000000000002,4.707879418000006,4.692913202000001,0.014966216000005694
expert_answer,EASY,jac,110,274,384,0.00302,3.085123436000001,3.028284923,0.056838513000000646
expert_answer,EASY,dspy,153,111,264,0.00285,7.111419533000003,7.101864456,0.009555077000002576
odd_word_out,EASY,jac,25,228,253,0.0015150000000000003,0.9477461420000006,0.8843845010000001,0.06336164100000052
odd_word_out,EASY,dspy,287,542,829,0.007015,8.989906730000007,8.975601028,0.014305702000006804
mcq_reason,MEDIUM,jac,96,247,343,0.0026750000000000003,2.0716183349999975,2.0122629180000002,0.059355416999997246
mcq_reason,MEDIUM,dspy,225,472,697,0.0057350000000000005,4.060737574999996,4.050853683000001,0.009883891999995065
personality_finder,MEDIUM,jac,27,199,226,0.0014,2.0699356439999996,2.008781988,0.06115365599999967
personality_finder,MEDIUM,dspy,36,197,233,0.0015249999999999999,1.2218931689999988,1.207286829,0.014606339999998719
template,MEDIUM,jac,32,200,232,0.00148,1.095967562000001,1.030774702,0.06519286000000091
template,MEDIUM,dspy,41,169,210,0.00146,1.3158606199999996,1.303016811,0.012843808999999595
text_to_type,MEDIUM,jac,35,248,283,0.001765,1.4498738099999997,1.3779671210000002,0.07190668899999952
text_to_type,MEDIUM,dspy,56,264,320,0.0021600000000000005,1.1503446729999998,1.1366188480000001,0.013725824999999636
taskman,MEDIUM,jac,415,1048,1463,0.011465,13.527589073999996,13.467245834000002,0.06034323999999458
taskman,MEDIUM,dspy,235,808,1043,0.0075650000000000005,6.4955774430000055,6.457213822000001,0.03836362100000468
rpg_level_gen,HARD,jac,658,1383,2041,0.016785,13.501024317999997,13.2472711,0.2537532179999964
rpg_level_gen,HARD,dspy,1178,2220,3398,0.02877,19.962690202000015,19.886529478,0.07616072400001528
wikipedia,HARD,jac,201,2477,2678,0.0154,9.544759010000005,5.925619871,3.619139139000005
wikipedia,HARD,dspy,30,149,179,0.001195,0.0,0.0,0.0
