problem,difficulty,impl,completion_tokens,prompt_tokens,total_tokens,cost,runtime,llm_time,non_llm_time
translation,EASY,jac,7,178,185,0.00576,1.6094217890000042,0.866276088,0.7431457010000042
translation,EASY,dspy,18,302,320,0.01014,6.945738939999991,5.714759664000001,1.2309792759999905
essay_reviewer,EASY,jac,119,1350,1469,0.04764,9.553684758000008,9.470013871,0.08367088700000735
essay_reviewer,EASY,dspy,464,1255,1719,0.06549,23.760961254999994,23.737894368000003,0.02306688699999171
joke_gen,EASY,jac,18,176,194,0.00636,1.6701337269999994,1.6250494210000002,0.04508430599999924
joke_gen,EASY,dspy,52,200,252,0.00912,6.287762824999998,6.272498539000001,0.015264285999997185
expert_answer,EASY,jac,99,296,395,0.014820000000000002,6.429290405999996,6.387205518,0.04208488799999621
expert_answer,EASY,dspy,91,100,191,0.00846,4.950093256999998,4.940554754,0.009538502999998144
odd_word_out,EASY,jac,57,455,512,0.017070000000000002,4.578932689000005,4.491970244,0.0869624450000046
odd_word_out,EASY,dspy,234,552,786,0.030600000000000002,12.793981523999994,12.778934514000001,0.015047009999992866
mcq_reason,MEDIUM,jac,58,264,322,0.0114,3.003652462999997,2.959407005,0.04424545799999713
mcq_reason,MEDIUM,dspy,97,164,261,0.01074,5.915503056000002,5.907801470000001,0.00770158600000137
personality_finder,MEDIUM,jac,27,245,272,0.00897,1.7001636269999991,1.652667703,0.047495923999999023
personality_finder,MEDIUM,dspy,32,197,229,0.00783,1.8716405050000007,1.8579141460000002,0.013726359000000521
template,MEDIUM,jac,29,220,249,0.00834,1.8783080570000001,1.8265285070000001,0.05177955000000001
template,MEDIUM,dspy,36,173,209,0.007350000000000001,2.4849237779999993,2.4731234960000004,0.01180028199999894
text_to_type,MEDIUM,jac,37,266,303,0.0102,3.2766094569999984,3.163595694,0.11301376299999832
text_to_type,MEDIUM,dspy,52,266,318,0.0111,3.054671406999997,3.040720506,0.013950900999997184
taskman,MEDIUM,jac,231,1003,1234,0.04395,5.411932894999999,5.399388805,0.012544089999998675
taskman,MEDIUM,dspy,122,808,930,0.03156,9.342463469000009,9.30414101,0.038322459000008635
rpg_level_gen,HARD,jac,499,1709,2208,0.08121,26.55092564499997,26.329494522,0.22143112299997014
rpg_level_gen,HARD,dspy,826,2213,3039,0.11595,38.24311146699999,38.163846106,0.07926536099999026
wikipedia,HARD,jac,66,840,906,0.029160000000000002,6.881211630000007,5.405857686,1.4753539440000072
wikipedia,HARD,dspy,105,574,679,0.02352,9.133088058999999,7.141890064,1.9911979949999985
